code,description
40/41,Vorderingen op ten hoogste één jaar
640/8,Andere bedrijfskosten
54/58,Liquide middelen
630,"Afschrijvingen en waardeverminderingen op oprichtingskosten, op immateriële en materiële vaste activa"
791/2,Onttrekking aan het eigen vermogen
65/66B,Financiële kosten
10,Kapitaal
13,Reserves
14,Overgedragen winst (verlies)
17,Schulden op meer dan één jaar
22/27,Materiële vaste activa
29/58,VLOTTENDE ACTIVA
9903,Winst (Verlies) van het boekjaar vóór belasting
9900,Brutomarge
9901,Bedrijfswinst (Bedrijfsverlies)
10/49,TOTAAL VAN DE PASSIVA
9906,Te bestemmen winst (verlies)
9904,Winst (Verlies) van het boekjaar
9905,Te bestemmen winst (verlies) van het boekjaar
21/28,VASTE ACTIVA
42/48,Schulden op ten hoogste één jaar
17/49,SCHULDEN
20/58,TOTAAL VAN DE ACTIVA
28,Financiële vaste activa
10/11,Inbreng
10/15,EIGEN VERMOGEN
67/77,Belastingen op het resultaat
492/3,Overlopende rekeningen
76A,Waarvan: niet-recurrente bedrijfsopbrengsten
75/76B,Financiële opbrengsten
75,Recurrente financiële opbrengsten
3,Voorraden en bestellingen in uitvoering
490/1,Overlopende rekeningen
62,"Bezoldigingen, sociale lasten en pensioenen"
691/2,Toevoeging aan het eigen vermogen
16,VOORZIENINGEN EN UITGESTELDE BELASTINGEN
694/7,Uit te keren winst
780,Onttrekking aan de uitgestelde belastingen
789,Onttrekking aan de belastingvrije reserves
50/53,Geldbeleggingen
694,Vergoeding van de inbreng
680,Overboeking naar de uitgestelde belastingen
689,Overboeking naar de belastingvrije reserves
631/4,"Waardeverminderingen op voorraden, op bestellingen in uitvoering en op handelsvorderingen: toevoegingen (terugnemingen)"
29,Vorderingen op meer dan één jaar
15,Kapitaalsubsidies
635/8,Voorzieningen voor risico's en kosten: toevoegingen (bestedingen en terugnemingen)
60/66A,Bedrijfskosten
60,"Handelsgoederen, grond- en hulpstoffen"
61,Diensten en diverse goederen
70,Omzet
71,Voorraad goederen in bewerking en gereed product en bestellingen in uitvoering: toename (afname)
72,Geproduceerde vaste activa
74,Andere bedrijfsopbrengsten
76,Niet-recurrente opbrengsten
66A,Niet-recurrente bedrijfskosten
70/76A,Bedrijfsopbrengsten
695,Bestuurders of zaakvoerders
21,Immateriële vaste activa
11,Buiten kapitaal
794,Tussenkomst van de vennoten in het verlies
649,Als herstructureringskosten geactiveerde bedrijfskosten
60/61,"Handelsgoederen, grond- en hulpstoffen, diensten en diverse goederen"
12,Herwaarderingsmeerwaarden
19,Voorschot aan de vennoten op de verdeling van het netto-actief
696,Werknemers
697,Andere rechthebbenden
