enterprise_number,activity_number,nace_code,classification_code
0400003551,1,43221,MAIN
0400003551,2,41201,SECO
0400003551,3,68311,SECO
0400008697,1,41201,MAIN
0400008697,2,41201,MAIN
0400008697,3,47521,SECO
0400008994,1,43999,MAIN
0400008994,2,23610,MAIN
0400008994,3,46731,SECO
0400008994,4,47521,SECO
0400033047,1,31010,MAIN
0400033047,2,43999,MAIN
0400033047,3,25110,SECO
0400033047,4,25610,SECO
0400033047,5,31010,SECO
0400033047,6,43299,SECO
0400033047,7,43320,SECO
0400063434,1,43343,MAIN
0400063434,2,43343,MAIN
0400071550,1,43222,MAIN
0400071649,1,43320,MAIN
0400071649,2,43390,MAIN
0400071649,3,43320,SECO
0400077686,1,43299,MAIN
0400077686,2,28220,MAIN
0400077686,3,43211,SECO
0400077686,4,43299,SECO
0400078973,1,64200,MAIN
0400078973,2,43390,MAIN
0400078973,3,68201,SECO
0400078973,4,82110,SECO
0400082042,1,42919,MAIN
0400082042,2,42110,MAIN
0400084220,1,43333,MAIN
0400085606,1,70220,MAIN
0400085606,2,41201,MAIN
0400085606,3,70220,SECO
0400089465,1,23190,MAIN
0400089465,2,43999,MAIN
0400089465,3,68201,SECO
0400095801,1,41102,MAIN
0400095801,2,41101,SECO
0400095801,3,41201,SECO
0400095801,4,41202,SECO
0400100848,1,43341,MAIN
0400100848,2,43341,MAIN
0400136876,1,43211,MAIN
0400136876,2,43211,MAIN
0400152615,1,41101,MAIN
0400152615,2,43320,MAIN
0400152615,3,41201,SECO
0400152615,4,41203,SECO
0400152615,5,43120,SECO
0400152615,6,43291,SECO
0400156177,1,43999,MAIN
0400156177,2,43331,MAIN
0400177260,1,43120,MAIN
0400177260,2,43211,MAIN
0400177260,3,24340,SECO
0400289108,1,43343,MAIN
0400289108,2,43343,MAIN
0400289108,3,23110,SECO
0400320384,1,41101,MAIN
0400320384,2,13300,SECO
0400320384,3,14130,SECO
0400348001,1,41101,MAIN
0400359184,1,47591,MAIN
0400359184,2,41101,MAIN
0400359184,3,47591,SECO
0400361263,1,43291,MAIN
0400361263,2,46190,MAIN
0400361263,3,43310,SECO
0400371656,1,41101,MAIN
0400379079,1,42110,MAIN
0400388680,1,50200,MAIN
0400388680,2,42911,MAIN
0400428470,1,41101,MAIN
0400428470,2,68100,SECO
0400428470,3,68201,SECO
0400428470,4,68202,SECO
0400428470,5,73200,SECO
0400443120,1,71111,MAIN
0400443120,2,41201,MAIN
0400443120,3,47592,SECO
0400456184,1,43910,MAIN
0400456184,2,43910,MAIN
0400456184,3,42110,SECO
0400464795,1,41202,MAIN
0400464795,2,41201,MAIN
0400467666,1,43999,MAIN
0400469646,1,28220,MAIN
0400469646,2,43299,MAIN
0400471428,1,41203,MAIN
0400471428,2,41201,MAIN
