enterprise_number,street,house_number,box,zipcode,city,country
0400003551,Rue de la Goëtte,85,,1420,Braine-l'Alleud,België
0400008697,Solleveld,17,,9550,Herzele,België
0400008994,Stokstraat(KRU),14,,9770,Kruisem,België
0400033047,Oude Eedstraat,3A,,9810,Nazareth,België
0400063434,Watlingtonstraat,7,,9000,Gent,België
0400071550,Spinnerijstraat(Kor),99,22,8500,Kortrijk,België
0400071649,Venecoweg,14A,,9810,Nazareth,België
0400077686,Venecolaan,52J,,9880,Aalter,België
0400078973,Oudstrijderslei,18,,2930,Brasschaat,België
0400082042,Rederskaai,61,.0301,8380,Brugge,België
0400084220,Z. 5 Mollem,170,,1730,Asse,België
0400085606,Lindestraat,13,,9240,Zele,België
0400089465,Zeilschipstraat,9,,9000,Gent,België
0400095801,Foreestelaan,86,201,9000,Gent,België
0400100848,Knippegroen,40,,9042,Gent,België
0400136876,Industriepark,4,B,9820,Merelbeke,België
0400152615,Brusselsesteenweg,69,/101,9090,Melle,België
0400156177,Oeverstraat,6,,9160,Lokeren,België
0400177260,Langestraat,30,,9240,Zele,België
0400289108,Dokter André Goffaertsstraat,5,,9300,Aalst,België
0400320384,Katstraat,22,,9340,Lede,België
0400348001,Waterloosesteenweg,1135,,1180,Ukkel,België
0400359184,Rue Dury (Emile),226,,1410,Waterloo,België
0400361263,Rue de l'Industrie,6,,1301,Wavre,België
0400371656,Hamoirlaan,10,,1180,Ukkel,België
0400379079,LAR Blok Z (Aal),5,,8511,Kortrijk,België
0400388680,Scheldedijk,30,,2070,Zwijndrecht,België
0400428470,Bischoffsheimlaan,33,,1000,Brussel,België
0400443120,Terhulpsesteenweg,185,,1170,Watermaal-Bosvoorde,België
0400456184,D'Herbouvillekaai,80,,2020,Antwerpen,België
0400464795,Edmond Van Nieuwenhuyselaan,30,,1160,Oudergem,België
0400467666,Avenue Landas,24,,1480,Tubize,België
0400469646,Sint Lendriksborre,7,,1120,Brussel,België
0400471428,Groenkraaglaan,1,,1170,Watermaal-Bosvoorde,België
0400473705,Scheldedijk,30,,2070,Zwijndrecht,België
0400475386,Ringlaan,108,,1180,Ukkel,België
0400481821,Sint-Denijsstraat,132,,1190,Vorst,België
0400484591,Guido Gezellestraat,123,,1654,Beersel,België
0400504288,Steenwinkelstraat,640,,2627,Schelle,België
0400552788,Dageraadstraat,44,,1000,Brussel,België
0400582581,Edouard Faesstraat,20,22,1090,Jette,België
0400695617,Excelsiorlaan,1,4,1930,Zaventem,België
0400840919,Meensesteenweg,608,,8800,Roeselare,België
0400841909,Putsesteenweg,319,,2820,Bonheiden,België
0400845669,Industriepark,17,,2220,Heist-op-den-Berg,België
0400852104,Belcrownlaan,18,,2100,Antwerpen,België
0400853587,Simon De Heuvellaan,8,,2110,Wijnegem,België
0400865762,Haltstraat,53,,3900,Pelt,België
0400929308,Genkersteenweg,195,1.01,3500,Hasselt,België
0400936236,Jagersborgweg,1007,,3680,Maaseik,België
0400950389,Grijpenveldstraat,20,,3300,Tienen,België
0400957814,Industriezone Schurhovenveld,4044,,3800,Sint-Truiden,België
0400958408,Prinsenweg,3,,3700,Tongeren,België
0400983152,Europaweg,11,,3560,Lummen,België
0400987508,Meldertsestraat,8,,3545,Halen,België
0401006611,Karperstraat,5,,9800,Deinze,België
0401006710,Tolpoortstraat,63,,9800,Deinze,België
0401032048,Onteigeningsstraat,18,,9060,Zelzate,België
0401057881,Kaaistraat,21,,9900,Eeklo,België
0401077083,Tragel,60,,9308,Aalst,België
0401077182,Ambachtsweg,8,,2310,Rijkevorsel,België
0401094703,Pierstraat,14,,2630,Aartselaar,België
0401103413,Quai de la Darse,14,,6030,Charleroi,België
0401118160,Place des Alliés,8,,7000,Mons,België
0401155574,Chaussée de Maubeuge,449,,7022,Mons,België
0401157059,Rue du Halage,13,,1460,Ittre,België
0401164284,Rue Saint-Vincent,1,,7950,Chièvres,België
