enterprise_number,year,10,10/11,10/15,10/49,11,12,13,14,15,16,17,17/49,19,20/58,21,21/28,22/27,28,29,29/58,3,40/41,42/48,490/1,492/3,50/53,54/58,60,60/61,60/66A,61,62,630,631/4,635/8,640/8,649,65/66B,66A,67/77,680,689,691/2,694,694/7,695,696,697,70,70/76A,71,72,74,75,75/76B,76,76A,780,789,791/2,794,9900,9901,9903,9904,9905,9906
0400003551,2014,1628700.0,,1123590.0,1520546.0,,,3319.0,-508429.0,,,,396955.0,,1520546.0,,,1386341.0,123.0,,132953.0,13031.0,31077.0,225367.0,475.0,171588.0,,88368.0,,,,,9432.0,69317.0,,,26043.0,,,,31.0,,,,,,,,,,,,,,51.0,,,,,,,,-53478.0,-158271.0,-181989.0,-182020.0,-182020.0,-508429.0
0400003551,2015,1628700.0,,976955.0,1416499.0,,,3319.0,-655063.0,,,,439543.0,,1416499.0,,,1332287.0,123.0,,83524.0,13031.0,18858.0,229709.0,4137.0,209833.0,,47496.0,,,,,8229.0,72276.0,,,23530.0,,,,15.0,,,,,,,,,,,,,,63.0,,,,,,,,-29670.0,-133707.0,-146618.0,-146634.0,-146634.0,-655063.0
0400003551,2016,1628700.0,,920538.0,1369539.0,,,3319.0,-711481.0,,,,449001.0,,1369539.0,,,1280333.0,123.0,,89082.0,,24184.0,430395.0,,18605.0,,64898.0,,,,,,61132.0,,,23317.0,,,,-12.0,,,,,,,,,,,,,,220.0,,,,,,,,41279.0,-43170.0,-56430.0,-56417.0,-56417.0,-711481.0
0400003551,2017,1628700.0,,847949.0,1304484.0,,,3319.0,-784069.0,,,,456534.0,,1304484.0,,1226208.0,1226084.0,123.0,,78275.0,,18367.0,424414.0,,32119.0,,59908.0,,,,,,54248.0,,,23449.0,,,,1.0,,,,,,,,,,,,,,10.0,,,,,,,,19185.0,-58513.0,-72586.0,-72588.0,-72588.0,-784069.0
0400003551,2018,1628700.0,,761881.0,1428397.0,,,3319.0,-870137.0,,,150000.0,666515.0,,1428397.0,,1335292.0,1335168.0,123.0,,93104.0,,12522.0,502424.0,,14090.0,,80582.0,,,,,,59214.0,,,26460.0,,15183.0,,0.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,14789.0,-70885.0,-86067.0,-86067.0,-86067.0,-870137.0
0400003551,2019,1628700.0,,698947.0,1395070.0,,,3319.0,-933071.0,,,170335.0,696123.0,,1395070.0,,1317694.0,1317570.0,123.0,,77376.0,,15284.0,511105.0,,14682.0,,62091.0,,,,,,61797.0,,,26467.0,,19991.0,,0.0,,,,,,,,,,,,,,74.0,74.0,,,,,,,45248.0,-43016.0,-62933.0,-62934.0,-62934.0,-933071.0
0400003551,2020,1628700.0,1628700.0,633674.0,1432310.0,,,3319.0,-998344.0,,,218751.0,798636.0,,1432310.0,,1282408.0,1282284.0,123.0,,149902.0,,33030.0,564586.0,,15299.0,,116871.0,,,,,,55547.0,,,29692.0,,20637.0,,0.0,,,,,,,,,,,,,,11.0,11.0,,4387.0,,,,,40592.0,-44646.0,-65273.0,-65273.0,-65273.0,-998344.0
0400003551,2021,1628700.0,1628700.0,563923.0,1314736.0,,,3319.0,-1068095.0,,,203556.0,750813.0,,1314736.0,,1241659.0,1241535.0,123.0,,73077.0,,56244.0,534732.0,,12523.0,,16833.0,,,,,,53943.0,,,30960.0,,17864.0,,,,,,,,,,,,,,,,,,,,,,,,33017.0,-51886.0,-69750.0,-69750.0,-69750.0,-1068095.0
0400003551,2022,1628700.0,1628700.0,581205.0,1244821.0,,,3319.0,-1050814.0,,,188975.0,663616.0,,1244821.0,,1194095.0,1193971.0,123.0,,50725.0,,6464.0,470884.0,,3756.0,,44261.0,,,,,,47563.0,,,31153.0,,4464.0,,,,,,,,,,,,,,,,,,,,,,,,100463.0,21746.0,17281.0,17281.0,17281.0,-1050814.0
0400003551,2023,196784.0,196784.0,200542.0,410007.0,,,3319.0,439.0,,,173200.0,209464.0,,410007.0,,208446.0,208322.0,123.0,,201560.0,,30065.0,36264.0,,,,171495.0,,,,,,222.0,,,310016.0,,4282.0,,1602.0,,,,,,,,,,,,,,,,,,,,531915.0,,835462.0,525222.0,520940.0,519337.0,519337.0,-531476.0
