enterprisenumber,year,juridicalsituation
0400003551,2018,Normale toestand
0400003551,2019,Normale toestand
0400003551,2020,Normale toestand
0400003551,2021,Normale toestand
0400003551,2022,Normale toestand
0400003551,2023,Normale toestand
0400008697,2018,Normale toestand
0400008697,2019,Normale toestand
0400008697,2020,Normale toestand
0400008697,2021,Normale toestand
0400008697,2022,Normale toestand
0400008697,2023,Normale toestand
0400008994,2018,Normale toestand
0400008994,2019,Normale toestand
0400008994,2020,Normale toestand
0400008994,2021,Normale toestand
0400008994,2022,Normale toestand
0400008994,2023,Normale toestand
0400033047,2018,Normale toestand
0400033047,2019,Normale toestand
0400033047,2020,Normale toestand
0400033047,2021,Normale toestand
0400033047,2022,Normale toestand
0400033047,2023,Normale toestand
0400063434,2018,Normale toestand
0400063434,2019,Normale toestand
0400063434,2020,Normale toestand
0400063434,2021,Normale toestand
0400063434,2022,Normale toestand
0400063434,2023,Normale toestand
0400071550,2018,Vrijwillige ontbinding – vereffening
0400071550,2019,Vrijwillige ontbinding – vereffening
0400071550,2020,Vrijwillige ontbinding – vereffening
0400071550,2021,Vrijwillige ontbinding – vereffening
0400071550,2022,Vrijwillige ontbinding – vereffening
0400071550,2023,Vrijwillige ontbinding – vereffening
0400071649,2018,Normale toestand
0400071649,2019,Normale toestand
0400071649,2020,Normale toestand
0400071649,2021,Normale toestand
0400071649,2022,Normale toestand
0400071649,2023,Normale toestand
0400077686,2018,Normale toestand
0400077686,2019,Normale toestand
0400077686,2020,Normale toestand
0400077686,2021,Normale toestand
0400077686,2022,Normale toestand
0400077686,2023,Normale toestand
0400078973,2018,Normale toestand
0400078973,2019,Normale toestand
0400078973,2020,Normale toestand
0400078973,2021,Normale toestand
0400078973,2022,Normale toestand
0400078973,2023,Normale toestand
0400082042,2018,Normale toestand
0400082042,2019,Normale toestand
0400082042,2020,Normale toestand
0400082042,2021,Normale toestand
0400082042,2022,Normale toestand
0400082042,2023,Normale toestand
0400084220,2018,Normale toestand
0400084220,2019,Normale toestand
0400084220,2020,Normale toestand
0400084220,2021,Normale toestand
0400084220,2022,Normale toestand
0400084220,2023,Normale toestand
0400085606,2018,Normale toestand
0400085606,2019,Normale toestand
0400085606,2020,Normale toestand
0400085606,2021,Normale toestand
0400085606,2022,Normale toestand
0400085606,2023,Normale toestand
0400089465,2018,Normale toestand
0400089465,2019,Normale toestand
0400089465,2020,Normale toestand
0400089465,2021,Normale toestand
0400089465,2022,Normale toestand
0400089465,2023,Normale toestand
0400095801,2018,Normale toestand
0400095801,2019,Normale toestand
0400095801,2020,Normale toestand
0400095801,2021,Normale toestand
0400095801,2022,Normale toestand
0400095801,2023,Normale toestand
0400100848,2018,Normale toestand
0400100848,2019,Normale toestand
0400100848,2020,Normale toestand
0400100848,2021,Normale toestand
0400100848,2022,Normale toestand
0400100848,2023,Normale toestand
0400136876,2018,Normale toestand
0400136876,2019,Normale toestand
0400136876,2020,Normale toestand
0400136876,2021,Normale toestand
0400136876,2022,Normale toestand
0400136876,2023,Normale toestand
0400152615,2018,Normale toestand
0400152615,2019,Normale toestand
0400152615,2020,Normale toestand
0400152615,2021,Normale toestand
0400152615,2022,Normale toestand
0400152615,2023,Normale toestand
0400156177,2018,Normale toestand
0400156177,2019,Normale toestand
0400156177,2020,Normale toestand
0400156177,2021,Normale toestand
0400156177,2022,Normale toestand
0400156177,2023,Normale toestand
0400177260,2018,Normale toestand
0400177260,2019,Normale toestand
0400177260,2020,Normale toestand
0400177260,2021,Normale toestand
0400177260,2022,Normale toestand
0400177260,2023,Normale toestand
0400289108,2018,Normale toestand
0400289108,2019,Normale toestand
0400289108,2020,Normale toestand
0400289108,2021,Normale toestand
0400289108,2022,Normale toestand
0400289108,2023,Normale toestand
0400320384,2018,Normale toestand
0400320384,2019,Normale toestand
0400320384,2020,Normale toestand
0400320384,2021,Normale toestand
0400320384,2022,Normale toestand
0400320384,2023,Normale toestand
0400348001,2018,Normale toestand
0400348001,2019,Normale toestand
0400348001,2020,Normale toestand
0400348001,2021,Normale toestand
0400348001,2022,Normale toestand
0400348001,2023,Normale toestand
0400359184,2018,Normale toestand
0400359184,2019,Normale toestand
0400359184,2020,Normale toestand
0400359184,2021,Normale toestand
0400359184,2022,Normale toestand
0400359184,2023,Normale toestand
0400361263,2018,Normale toestand
0400361263,2019,Normale toestand
0400361263,2020,Normale toestand
0400361263,2021,Normale toestand
0400361263,2022,Normale toestand
0400361263,2023,Normale toestand
0400371656,2018,Normale toestand
0400371656,2019,Normale toestand
0400371656,2020,Normale toestand
0400371656,2021,Normale toestand
0400371656,2022,Normale toestand
0400371656,2023,Normale toestand
0400379079,2018,Normale toestand
0400379079,2019,Normale toestand
0400379079,2020,Normale toestand
0400379079,2021,Normale toestand
0400379079,2022,Normale toestand
0400379079,2023,Normale toestand
0400388680,2018,Normale toestand
0400388680,2019,Normale toestand
0400388680,2020,Normale toestand
0400388680,2021,Normale toestand
0400388680,2022,Normale toestand
0400388680,2023,Normale toestand
0400428470,2018,Normale toestand
0400428470,2019,Normale toestand
0400428470,2020,Normale toestand
0400428470,2021,Normale toestand
0400428470,2022,Normale toestand
0400428470,2023,Normale toestand
0400443120,2018,Normale toestand
0400443120,2019,Normale toestand
0400443120,2020,Normale toestand
0400443120,2021,Normale toestand
0400443120,2022,Normale toestand
0400443120,2023,Normale toestand
0400456184,2018,Normale toestand
0400456184,2019,Normale toestand
0400456184,2020,Normale toestand
0400456184,2021,Normale toestand
0400456184,2022,Normale toestand
0400456184,2023,Normale toestand
0400464795,2018,Normale toestand
0400464795,2019,Normale toestand
0400464795,2020,Normale toestand
0400464795,2021,Normale toestand
0400464795,2022,Normale toestand
0400464795,2023,Normale toestand
0400467666,2018,Normale toestand
0400467666,2019,Normale toestand
0400467666,2020,Normale toestand
0400467666,2021,Normale toestand
0400467666,2022,Normale toestand
0400467666,2023,Normale toestand
0400469646,2018,Normale toestand
0400469646,2019,Normale toestand
0400469646,2020,Normale toestand
0400469646,2021,Normale toestand
0400469646,2022,Normale toestand
0400469646,2023,Normale toestand
0400471428,2018,Normale toestand
0400471428,2019,Normale toestand
0400471428,2020,Normale toestand
0400471428,2021,Normale toestand
0400471428,2022,Normale toestand
0400471428,2023,Normale toestand
0400473705,2018,Normale toestand
0400473705,2019,Normale toestand
0400473705,2020,Normale toestand
0400473705,2021,Normale toestand
0400473705,2022,Normale toestand
0400473705,2023,Normale toestand
0400475386,2018,Opening faillissement
0400475386,2019,Opening faillissement
0400475386,2020,Opening faillissement
0400475386,2021,Opening faillissement
0400475386,2022,Opening faillissement
0400475386,2023,Opening faillissement
0400481821,2018,Normale toestand
0400481821,2019,Normale toestand
0400481821,2020,Normale toestand
0400481821,2021,Normale toestand
0400481821,2022,Normale toestand
0400481821,2023,Normale toestand
0400484591,2018,Normale toestand
0400484591,2019,Normale toestand
0400484591,2020,Normale toestand
0400484591,2021,Normale toestand
0400484591,2022,Normale toestand
0400484591,2023,Normale toestand
0400504288,2018,Normale toestand
0400504288,2019,Normale toestand
0400504288,2020,Normale toestand
0400504288,2021,Normale toestand
0400504288,2022,Normale toestand
0400504288,2023,Normale toestand
0400552788,2018,Normale toestand
0400552788,2019,Normale toestand
0400552788,2020,Normale toestand
0400552788,2021,Normale toestand
0400552788,2022,Normale toestand
0400552788,2023,Normale toestand
0400582581,2018,Normale toestand
0400582581,2019,Normale toestand
0400582581,2020,Normale toestand
0400582581,2021,Normale toestand
0400582581,2022,Normale toestand
0400582581,2023,Normale toestand
0400695617,2018,Normale toestand
0400695617,2019,Normale toestand
0400695617,2020,Normale toestand
0400695617,2021,Normale toestand
0400695617,2022,Normale toestand
0400695617,2023,Normale toestand
0400840919,2018,Normale toestand
0400840919,2019,Normale toestand
0400840919,2020,Normale toestand
0400840919,2021,Normale toestand
0400840919,2022,Normale toestand
0400840919,2023,Normale toestand
0400841909,2018,Normale toestand
0400841909,2019,Normale toestand
0400841909,2020,Normale toestand
0400841909,2021,Normale toestand
0400841909,2022,Normale toestand
0400841909,2023,Normale toestand
0400845669,2018,Normale toestand
0400845669,2019,Normale toestand
0400845669,2020,Normale toestand
0400845669,2021,Normale toestand
0400845669,2022,Normale toestand
0400845669,2023,Normale toestand
0400852104,2018,Normale toestand
0400852104,2019,Normale toestand
0400852104,2020,Normale toestand
0400852104,2021,Normale toestand
0400852104,2022,Normale toestand
0400852104,2023,Normale toestand
0400853587,2018,Normale toestand
0400853587,2019,Normale toestand
0400853587,2020,Normale toestand
0400853587,2021,Normale toestand
0400853587,2022,Normale toestand
0400853587,2023,Normale toestand
0400865762,2018,Normale toestand
0400865762,2019,Normale toestand
0400865762,2020,Normale toestand
0400865762,2021,Normale toestand
0400865762,2022,Normale toestand
0400865762,2023,Normale toestand
0400929308,2018,Normale toestand
0400929308,2019,Normale toestand
0400929308,2020,Normale toestand
0400929308,2021,Normale toestand
0400929308,2022,Normale toestand
0400929308,2023,Normale toestand
0400936236,2018,Normale toestand
0400936236,2019,Normale toestand
0400936236,2020,Normale toestand
0400936236,2021,Normale toestand
0400936236,2022,Normale toestand
0400936236,2023,Normale toestand
0400950389,2018,Normale toestand
0400950389,2019,Normale toestand
0400950389,2020,Normale toestand
0400950389,2021,Normale toestand
0400950389,2022,Normale toestand
0400950389,2023,Normale toestand
0400957814,2018,Opening faillissement
0400957814,2019,Opening faillissement
0400957814,2020,Opening faillissement
0400957814,2021,Opening faillissement
0400957814,2022,Opening faillissement
0400957814,2023,Opening faillissement
0400958408,2018,Opening faillissement
0400958408,2019,Opening faillissement
0400958408,2020,Opening faillissement
0400958408,2021,Opening faillissement
0400958408,2022,Opening faillissement
0400958408,2023,Opening faillissement
0400983152,2018,Normale toestand
0400983152,2019,Normale toestand
0400983152,2020,Normale toestand
0400983152,2021,Normale toestand
0400983152,2022,Normale toestand
0400983152,2023,Normale toestand
0400987508,2018,Opening faillissement
0400987508,2019,Opening faillissement
0400987508,2020,Opening faillissement
0400987508,2021,Opening faillissement
0400987508,2022,Opening faillissement
0400987508,2023,Opening faillissement
0401006611,2018,Normale toestand
0401006611,2019,Normale toestand
0401006611,2020,Normale toestand
0401006611,2021,Normale toestand
0401006611,2022,Normale toestand
0401006611,2023,Normale toestand
0401006710,2018,Normale toestand
0401006710,2019,Normale toestand
0401006710,2020,Normale toestand
0401006710,2021,Normale toestand
0401006710,2022,Normale toestand
0401006710,2023,Normale toestand
0401032048,2018,Normale toestand
0401032048,2019,Normale toestand
0401032048,2020,Normale toestand
0401032048,2021,Normale toestand
0401032048,2022,Normale toestand
0401032048,2023,Normale toestand
0401057881,2018,Normale toestand
0401057881,2019,Normale toestand
0401057881,2020,Normale toestand
0401057881,2021,Normale toestand
0401057881,2022,Normale toestand
0401057881,2023,Normale toestand
0401077083,2018,Normale toestand
0401077083,2019,Normale toestand
0401077083,2020,Normale toestand
0401077083,2021,Normale toestand
0401077083,2022,Normale toestand
0401077083,2023,Normale toestand
0401077182,2018,Normale toestand
0401077182,2019,Normale toestand
0401077182,2020,Normale toestand
0401077182,2021,Normale toestand
0401077182,2022,Normale toestand
0401077182,2023,Normale toestand
0401094703,2018,Normale toestand
0401094703,2019,Normale toestand
0401094703,2020,Normale toestand
0401094703,2021,Normale toestand
0401094703,2022,Normale toestand
0401094703,2023,Normale toestand
0401103413,2018,Normale toestand
0401103413,2019,Normale toestand
0401103413,2020,Normale toestand
0401103413,2021,Normale toestand
0401103413,2022,Normale toestand
0401103413,2023,Normale toestand
0401118160,2018,Normale toestand
0401118160,2019,Normale toestand
0401118160,2020,Normale toestand
0401118160,2021,Normale toestand
0401118160,2022,Normale toestand
0401118160,2023,Normale toestand
0401155574,2018,Normale toestand
0401155574,2019,Normale toestand
0401155574,2020,Normale toestand
0401155574,2021,Normale toestand
0401155574,2022,Normale toestand
0401155574,2023,Normale toestand
0401157059,2018,Normale toestand
0401157059,2019,Normale toestand
0401157059,2020,Normale toestand
0401157059,2021,Normale toestand
0401157059,2022,Normale toestand
0401157059,2023,Normale toestand
0401164284,2018,Opening faillissement
0401164284,2019,Opening faillissement
0401164284,2020,Opening faillissement
0401164284,2021,Opening faillissement
0401164284,2022,Opening faillissement
0401164284,2023,Opening faillissement
0401185367,2018,Normale toestand
0401185367,2019,Normale toestand
0401185367,2020,Normale toestand
0401185367,2021,Normale toestand
0401185367,2022,Normale toestand
0401185367,2023,Normale toestand
0401187644,2018,Normale toestand
0401187644,2019,Normale toestand
0401187644,2020,Normale toestand
0401187644,2021,Normale toestand
0401187644,2022,Normale toestand
0401187644,2023,Normale toestand
0401193879,2018,Normale toestand
0401193879,2019,Normale toestand
0401193879,2020,Normale toestand
0401193879,2021,Normale toestand
0401193879,2022,Normale toestand
0401193879,2023,Normale toestand
0401205955,2018,Opening faillissement
0401205955,2019,Opening faillissement
0401205955,2020,Opening faillissement
0401205955,2021,Opening faillissement
0401205955,2022,Opening faillissement
0401205955,2023,Opening faillissement
0401212289,2018,Normale toestand
0401212289,2019,Normale toestand
0401212289,2020,Normale toestand
0401212289,2021,Normale toestand
0401212289,2022,Normale toestand
0401212289,2023,Normale toestand
0401282169,2018,Normale toestand
0401282169,2019,Normale toestand
0401282169,2020,Normale toestand
0401282169,2021,Normale toestand
0401282169,2022,Normale toestand
0401282169,2023,Normale toestand
0401282367,2018,Normale toestand
0401282367,2019,Normale toestand
0401282367,2020,Normale toestand
0401282367,2021,Normale toestand
0401282367,2022,Normale toestand
0401282367,2023,Normale toestand
0401289988,2018,Opening faillissement
0401289988,2019,Opening faillissement
0401289988,2020,Opening faillissement
0401289988,2021,Opening faillissement
0401289988,2022,Opening faillissement
0401289988,2023,Opening faillissement
0401296423,2018,Normale toestand
0401296423,2019,Normale toestand
0401296423,2020,Normale toestand
0401296423,2021,Normale toestand
0401296423,2022,Normale toestand
0401296423,2023,Normale toestand
0401302757,2018,Normale toestand
0401302757,2019,Normale toestand
0401302757,2020,Normale toestand
0401302757,2021,Normale toestand
0401302757,2022,Normale toestand
0401302757,2023,Normale toestand
0401307608,2018,Normale toestand
0401307608,2019,Normale toestand
0401307608,2020,Normale toestand
0401307608,2021,Normale toestand
0401307608,2022,Normale toestand
0401307608,2023,Normale toestand
0401317407,2018,Normale toestand
0401317407,2019,Normale toestand
0401317407,2020,Normale toestand
0401317407,2021,Normale toestand
0401317407,2022,Normale toestand
0401317407,2023,Normale toestand
0401335520,2018,Normale toestand
0401335520,2019,Normale toestand
0401335520,2020,Normale toestand
0401335520,2021,Normale toestand
0401335520,2022,Normale toestand
0401335520,2023,Normale toestand
0401352346,2018,Normale toestand
0401352346,2019,Normale toestand
0401352346,2020,Normale toestand
0401352346,2021,Normale toestand
0401352346,2022,Normale toestand
0401352346,2023,Normale toestand
0401358977,2018,Normale toestand
0401358977,2019,Normale toestand
0401358977,2020,Normale toestand
0401358977,2021,Normale toestand
0401358977,2022,Normale toestand
0401358977,2023,Normale toestand
0401365907,2018,Opening faillissement
0401365907,2019,Opening faillissement
0401365907,2020,Opening faillissement
0401365907,2021,Opening faillissement
0401365907,2022,Opening faillissement
0401365907,2023,Opening faillissement
0401381149,2018,Normale toestand
0401381149,2019,Normale toestand
0401381149,2020,Normale toestand
0401381149,2021,Normale toestand
0401381149,2022,Normale toestand
0401381149,2023,Normale toestand
0401405497,2018,Normale toestand
0401405497,2019,Normale toestand
0401405497,2020,Normale toestand
0401405497,2021,Normale toestand
0401405497,2022,Normale toestand
0401405497,2023,Normale toestand
0401432718,2018,Normale toestand
0401432718,2019,Normale toestand
0401432718,2020,Normale toestand
0401432718,2021,Normale toestand
0401432718,2022,Normale toestand
0401432718,2023,Normale toestand
0401470231,2018,Normale toestand
0401470231,2019,Normale toestand
0401470231,2020,Normale toestand
0401470231,2021,Normale toestand
0401470231,2022,Normale toestand
0401470231,2023,Normale toestand
0401473793,2018,Normale toestand
0401473793,2019,Normale toestand
0401473793,2020,Normale toestand
0401473793,2021,Normale toestand
0401473793,2022,Normale toestand
0401473793,2023,Normale toestand
0401483394,2018,Normale toestand
0401483394,2019,Normale toestand
0401483394,2020,Normale toestand
0401483394,2021,Normale toestand
0401483394,2022,Normale toestand
0401483394,2023,Normale toestand
0401491710,2018,Normale toestand
0401491710,2019,Normale toestand
0401491710,2020,Normale toestand
0401491710,2021,Normale toestand
0401491710,2022,Normale toestand
0401491710,2023,Normale toestand
0401492007,2018,Vrijwillige ontbinding – vereffening
0401492007,2019,Vrijwillige ontbinding – vereffening
0401492007,2020,Vrijwillige ontbinding – vereffening
0401492007,2021,Vrijwillige ontbinding – vereffening
0401492007,2022,Vrijwillige ontbinding – vereffening
0401492007,2023,Vrijwillige ontbinding – vereffening
0401506754,2018,Normale toestand
0401506754,2019,Normale toestand
0401506754,2020,Normale toestand
0401506754,2021,Normale toestand
0401506754,2022,Normale toestand
0401506754,2023,Normale toestand
0401605140,2018,Normale toestand
0401605140,2019,Normale toestand
0401605140,2020,Normale toestand
0401605140,2021,Normale toestand
0401605140,2022,Normale toestand
0401605140,2023,Normale toestand
0401607318,2018,Normale toestand
0401607318,2019,Normale toestand
0401607318,2020,Normale toestand
0401607318,2021,Normale toestand
0401607318,2022,Normale toestand
0401607318,2023,Normale toestand
0401636319,2018,Normale toestand
0401636319,2019,Normale toestand
0401636319,2020,Normale toestand
0401636319,2021,Normale toestand
0401636319,2022,Normale toestand
0401636319,2023,Normale toestand
0401664033,2018,Normale toestand
0401664033,2019,Normale toestand
0401664033,2020,Normale toestand
0401664033,2021,Normale toestand
0401664033,2022,Normale toestand
0401664033,2023,Normale toestand
0401672248,2018,Normale toestand
0401672248,2019,Normale toestand
0401672248,2020,Normale toestand
0401672248,2021,Normale toestand
0401672248,2022,Normale toestand
0401672248,2023,Normale toestand
0401683136,2018,Normale toestand
0401683136,2019,Normale toestand
0401683136,2020,Normale toestand
0401683136,2021,Normale toestand
0401683136,2022,Normale toestand
0401683136,2023,Normale toestand
0401711345,2018,Normale toestand
0401711345,2019,Normale toestand
0401711345,2020,Normale toestand
0401711345,2021,Normale toestand
0401711345,2022,Normale toestand
0401711345,2023,Normale toestand
0401722332,2018,Normale toestand
0401722332,2019,Normale toestand
0401722332,2020,Normale toestand
0401722332,2021,Normale toestand
0401722332,2022,Normale toestand
0401722332,2023,Normale toestand
0401722926,2018,Normale toestand
0401722926,2019,Normale toestand
0401722926,2020,Normale toestand
0401722926,2021,Normale toestand
0401722926,2022,Normale toestand
0401722926,2023,Normale toestand
0401739950,2018,Normale toestand
0401739950,2019,Normale toestand
0401739950,2020,Normale toestand
0401739950,2021,Normale toestand
0401739950,2022,Normale toestand
0401739950,2023,Normale toestand
0401740742,2018,Normale toestand
0401740742,2019,Normale toestand
0401740742,2020,Normale toestand
0401740742,2021,Normale toestand
0401740742,2022,Normale toestand
0401740742,2023,Normale toestand
0401743217,2018,Opening faillissement
0401743217,2019,Opening faillissement
0401743217,2020,Opening faillissement
0401743217,2021,Opening faillissement
0401743217,2022,Opening faillissement
0401743217,2023,Opening faillissement
0401818144,2018,Normale toestand
0401818144,2019,Normale toestand
0401818144,2020,Normale toestand
0401818144,2021,Normale toestand
0401818144,2022,Normale toestand
0401818144,2023,Normale toestand
0401860013,2018,Normale toestand
0401860013,2019,Normale toestand
0401860013,2020,Normale toestand
0401860013,2021,Normale toestand
0401860013,2022,Normale toestand
0401860013,2023,Normale toestand
0401869713,2018,Normale toestand
0401869713,2019,Normale toestand
0401869713,2020,Normale toestand
0401869713,2021,Normale toestand
0401869713,2022,Normale toestand
0401869713,2023,Normale toestand
0401901286,2018,Normale toestand
0401901286,2019,Normale toestand
0401901286,2020,Normale toestand
0401901286,2021,Normale toestand
0401901286,2022,Normale toestand
0401901286,2023,Normale toestand
0401902177,2018,Normale toestand
0401902177,2019,Normale toestand
0401902177,2020,Normale toestand
0401902177,2021,Normale toestand
0401902177,2022,Normale toestand
0401902177,2023,Normale toestand
0401903959,2018,Normale toestand
0401903959,2019,Normale toestand
0401903959,2020,Normale toestand
0401903959,2021,Normale toestand
0401903959,2022,Normale toestand
0401903959,2023,Normale toestand
0401962753,2018,Normale toestand
0401962753,2019,Normale toestand
0401962753,2020,Normale toestand
0401962753,2021,Normale toestand
0401962753,2022,Normale toestand
0401962753,2023,Normale toestand
0401966317,2018,Normale toestand
0401966317,2019,Normale toestand
0401966317,2020,Normale toestand
0401966317,2021,Normale toestand
0401966317,2022,Normale toestand
0401966317,2023,Normale toestand
0401998979,2018,Normale toestand
0401998979,2019,Normale toestand
0401998979,2020,Normale toestand
0401998979,2021,Normale toestand
0401998979,2022,Normale toestand
